num_words,word_size,words_per_row,local_array_size,area,process,voltage,temperature,slew,load,rise_delay,fall_delay,rise_slew,fall_slew,write1_power,write0_power,read1_power,read0_power,leakage_power
1024,23,16,118,0,TT,1.0,25,0.00125,0.052275,0.85234,0.85234,0.27117,0.27117,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.00125,0.2091,0.85418,0.85418,0.27031,0.27031,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.00125,0.8364,0.8604499999999999,0.8604499999999999,0.27264,0.27264,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.005,0.052275,0.85316,0.85316,0.27098,0.27098,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.005,0.2091,0.85477,0.85477,0.27147,0.27147,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.005,0.8364,0.86048,0.86048,0.27293,0.27293,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.04,0.052275,0.85768,0.85768,0.27049,0.27049,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.04,0.2091,0.8594700000000001,0.8594700000000001,0.26963,0.26963,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
1024,23,16,118,0,TT,1.0,25,0.04,0.8364,0.86544,0.86544,0.27325,0.27325,4.091554666666666,8.445465777777779,8.360854666666668,8.360021333333334,0.182
128,12,4,38,0,TT,1.0,25,0.00125,0.052275,0.50365,0.50365,0.2647,0.2647,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.00125,0.2091,0.50549,0.50549,0.26520000000000005,0.26520000000000005,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.00125,0.8364,0.5114500000000001,0.5114500000000001,0.26664000000000004,0.26664000000000004,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.005,0.052275,0.50464,0.50464,0.26481,0.26481,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.005,0.2091,0.5059800000000001,0.5059800000000001,0.26507,0.26507,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.005,0.8364,0.5122800000000001,0.5122800000000001,0.26648999999999995,0.26648999999999995,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.04,0.052275,0.50921,0.50921,0.26495,0.26495,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.04,0.2091,0.5108,0.5108,0.26542,0.26542,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
128,12,4,38,0,TT,1.0,25,0.04,0.8364,0.51663,0.51663,0.26712,0.26712,0.8532664888888889,1.3061720444444442,1.203938711111111,1.2031831555555557,0.015184999999999999
2048,32,8,0,0,TT,1.0,25,0.00125,0.052275,0.72804,0.72804,0.27723,0.27723,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.00125,0.2091,0.72938,0.72938,0.27716,0.27716,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.00125,0.8364,0.73548,0.73548,0.27867,0.27867,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.005,0.052275,0.7283,0.7283,0.27621,0.27621,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.005,0.2091,0.73001,0.73001,0.27708,0.27708,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.005,0.8364,0.73619,0.73619,0.278,0.278,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.04,0.052275,0.7329899999999999,0.7329899999999999,0.27509,0.27509,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.04,0.2091,0.73472,0.73472,0.27569,0.27569,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
2048,32,8,0,0,TT,1.0,25,0.04,0.8364,0.74073,0.74073,0.27765,0.27765,2.092868777777778,3.2371465555555554,3.093602111111111,3.095168777777778,0.33332
16,4,1,4,0,TT,1.0,25,0.00125,0.052275,0.25400999999999996,0.25400999999999996,0.26805,0.26805,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.00125,0.2091,0.25522,0.25522,0.26838,0.26838,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.00125,0.8364,0.26011,0.26011,0.26957,0.26957,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.005,0.052275,0.25468999999999997,0.25468999999999997,0.26817,0.26817,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.005,0.2091,0.25582,0.25582,0.26844,0.26844,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.005,0.8364,0.26049999999999995,0.26049999999999995,0.26965,0.26965,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.04,0.052275,0.25988,0.25988,0.26833,0.26833,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
16,4,1,4,0,TT,1.0,25,0.04,0.2091,0.26134999999999997,0.26134999999999997,0.26854,0.26854,0.3716818888888889,0.45269522222222225,0.39135077777777777,0.3916741111111111,0.0021831
