num_words,word_size,words_per_row,area,leakage_power
16,2,1,88873,0.0009381791
64,2,4,108116,0.0011511999999999998
16,1,1,86004,0.0005252088
32,3,2,101618,0.0012168
32,2,2,95878,0.000771978
16,3,1,93009,0.0009978024
64,1,4,95878,0.0006975546000000001
32,1,2,90139,0.0006437493
