
2048  4841.3475625 4809.4391125 4777.5306625 5289.7701375
8192  13500.7585125 12978.9081875 12928.9229375 12878.9376875
#16384  25605.7869 22997.2777125 22908.8792625 22820.4808125
32768  51075.243575 43556.8917 41990.3161125 41901.9176625
#65536  142381.5903     86382.658775 79459.1013 79292.00325
131072  283865.472  211851.0735  156997.489175  151263.5205
